label,text
ham,"Hey, how are you?"
spam,"Congratulations! You won a free lottery"
ham,"Let's meet tomorrow"
spam,"Win cash now!!!"
ham,"Call me later"
spam,"Free recharge available now"
ham,"Are you coming today?"
spam,"Claim your prize now"
ham,"Don't forget the meeting"
spam,"Urgent! Click this link"
ham,"See you soon"
spam,"Limited time offer!"
ham,"Bring your book"
spam,"You have won money"
ham,"Lunch at 2?"
spam,"Get free gift card"
ham,"Where are you?"
spam,"Exclusive deal just for you"
ham,"Let's go to class"
spam,"Earn money from home"
ham,"Message me when free"
spam,"Act now to win prize"
ham,"Good morning"
spam,"You are selected winner"
ham,"Call me tonight"
spam,"Free entry in contest"
ham,"Meeting postponed"
spam,"Click here for reward"
ham,"Project submission today"
spam,"Lowest price guaranteed"
ham,"Are you okay?"
spam,"Hot deal ends soon"
ham,"See you in lab"
spam,"Win iPhone now"
ham,"Bring notes"
spam,"Get cash instantly"
ham,"Let's study together"
spam,"Limited stock available"
ham,"I will reach soon"
spam,"Claim bonus now"
ham,"Join the session"
spam,"Free tickets available"
ham,"Assignment done?"
spam,"Special discount for you"
ham,"Come fast"
spam,"Win big prizes today"
ham,"Let's discuss project"
spam,"You got selected"
ham,"Where is the class?"
spam,"Earn ₹5000 daily"
